"species","family","rec_gbif"
"Ramphocaenus melanurus","Polioptilidae",9
"Myrmoborus leucophrys","Thamnophilidae",9
"Tryngites subruficollis","Scolopacidae",9
"Contopus cooperi","Tyrannidae",9
"Scytalopus unicolor","Rhinocryptidae",8
"Calidris minutilla","Scolopacidae",8
"Polioptila plumbea","Polioptilidae",8
"Atlapetes rufinucha","Emberizidae",8
"Myiotheretes striaticollis","Tyrannidae",8
"Ochthoeca rufipectoralis","Tyrannidae",8
"Tringa melanoleuca","Scolopacidae",8
"Hemitriccus granadensis","Tyrannidae",8
"Progne modesta","Hirundinidae",8
"Capsiempis flaveola","Tyrannidae",8
"Mecocerculus leucophrys","Tyrannidae",8
"Urothraupis stolzmanni","Thraupidae",8
"Ictinia mississippiensis","Accipitridae",8
"Grallaria rufula","Grallariidae",8
"Pseudotriccus ruficeps","Tyrannidae",8
"Geranoaetus melanoleucus","Accipitridae",8
"Diglossa cyanea","Thraupidae",8
"Galbula chalcothorax","Galbulidae",7
"Myiobius barbatus","Tyrannidae",7
"Mitu tomentosum","Cracidae",7
"Machetornis rixosa","Tyrannidae",7
"Phaethornis superciliosus","Trochilidae",7
"Pluvialis dominica","Charadriidae",7
"Geothlypis aequinoctialis","Parulidae",7
"Rhegmatorhina melanosticta","Thamnophilidae",7
"Rupicola rupicola","Cotingidae",7
"Schistochlamys melanopis","Thraupidae",7
"Crypturellus bartletti","Tinamidae",7
"Sublegatus obscurior","Tyrannidae",7
"Conirostrum speciosum","Thraupidae",7
"Catharus minimus","Turdidae",7
"Accipiter poliogaster","Accipitridae",7
NULL,"Trochilidae",7
"Neoctantes niger","Thamnophilidae",7
"Myiothlypis fulvicauda","Parulidae",6
"Platyrinchus platyrhynchos","Tyrannidae",6
"Sporophila minuta","Thraupidae",6
"Iridosornis rufivertex","Thraupidae",6
"Myiothlypis coronata","Parulidae",6
"Chordeiles pusillus","Caprimulgidae",6
"Myioborus ornatus","Parulidae",6
"Diglossa lafresnayii","Thraupidae",6
"Turdus serranus","Turdidae",6
"Tangara vassorii","Thraupidae",6
"Calliphlox amethystina","Trochilidae",6
"Neopipo cinnamomea","Tyrannidae",6
"Turdus fuscater","Turdidae",6
"Dubusia taeniata","Thraupidae",6
"Neomorphus pucheranii","Cuculidae",6
NULL,"Tyrannidae",6
"Tangara nigrocincta","Thraupidae",6
"Thraupis cyanocephala","Thraupidae",6
"Nomonyx dominicus","Anatidae",6
"Todirostrum cinereum","Tyrannidae",6
"Epinecrophylla haematonota","Thamnophilidae",6
"Capito niger","Capitonidae",6
"Ampelion rubrocristatus","Cotingidae",6
"Conirostrum sitticolor","Thraupidae",6
"Anisognathus igniventris","Thraupidae",6
"Formicivora grisea","Thamnophilidae",6
"Buthraupis eximia","Thraupidae",6
"Anisognathus lacrymosus","Thraupidae",6
"Micrastur ruficollis","Falconidae",6
"Pseudoscops clamator","Strigidae",6
"Tangara xanthogastra","Thraupidae",5
"Tigrisoma fasciatum","Ardeidae",5
NULL,"Picidae",5
"Sclerurus mexicanus","Furnariidae",5
"Eudocimus ruber","Threskiornithidae",5
"Elaenia ruficeps","Tyrannidae",5
"Elaenia strepera","Tyrannidae",5
"Zebrilus undulatus","Ardeidae",5
"Xenops tenuirostris","Furnariidae",5
"Elaenia chiriquensis","Tyrannidae",5
"Nyctiprogne leucopyga","Caprimulgidae",5
"Bartramia longicauda","Scolopacidae",5
"Heterocercus aurantiivertex","Pipridae",5
"Buteo platypterus","Accipitridae",5
"Buteo swainsoni","Accipitridae",5
"Mitu salvini","Cracidae",5
"Accipiter bicolor","Accipitridae",5
"Catharus fuscescens","Turdidae",5
NULL,"Psittacidae",5
"Colonia colonus","Tyrannidae",5
"Cercomacra tyrannina","Thamnophilidae",5
"Terenura spodioptila","Thamnophilidae",4
"Falco sparverius","Falconidae",4
"Calidris himantopus","Scolopacidae",4
"Notharchus ordii","Bucconidae",4
"Dolichonyx oryzivorus","Icteridae",4
NULL,"Icteridae",4
"Leptopogon amaurocephalus","Tyrannidae",4
"Micrastur mirandollei","Falconidae",4
"Phimosus infuscatus","Threskiornithidae",4
